Datetime,index,Open,High,Low,Close,Volume
2025-06-02 12:40:00-04:00,86,104155.2,104176.4,104051.9,104061.1,204.953
2025-06-02 12:35:00-04:00,87,104092.9,104170.0,104064.5,104155.3,181.079
2025-06-02 12:30:00-04:00,88,104050.6,104100.0,103982.9,104093.0,355.893
2025-06-02 12:25:00-04:00,89,104120.2,104147.5,103985.7,104050.6,480.805
2025-06-02 12:20:00-04:00,90,104228.5,104252.0,104100.2,104120.1,262.228
2025-06-02 12:15:00-04:00,91,104194.9,104293.9,104190.0,104228.5,225.97
2025-06-02 12:10:00-04:00,92,104301.5,104310.3,104172.7,104194.9,256.768
2025-06-02 12:05:00-04:00,93,104346.8,104396.4,104236.0,104301.5,492.184
2025-06-02 12:00:00-04:00,94,104396.9,104440.4,104235.1,104346.7,448.34
2025-06-02 11:55:00-04:00,95,104356.2,104396.9,104309.0,104396.8,166.37
2025-06-02 11:50:00-04:00,96,104215.5,104485.6,104215.5,104356.3,408.514
2025-06-02 11:45:00-04:00,97,104342.3,104384.3,104215.5,104215.5,285.591
2025-06-02 11:40:00-04:00,98,104219.5,104392.3,104206.7,104342.3,528.057
2025-06-02 11:35:00-04:00,99,104200.1,104287.4,104170.5,104219.5,458.38
2025-06-02 11:30:00-04:00,100,104279.1,104334.7,104200.0,104200.0,573.798
2025-06-02 11:25:00-04:00,101,104405.9,104533.3,104279.1,104279.1,1284.423
2025-06-02 11:20:00-04:00,102,104310.5,104409.8,104212.3,104405.9,469.225
2025-06-02 11:15:00-04:00,103,104179.1,104333.0,104081.2,104310.4,919.307
2025-06-02 11:10:00-04:00,104,103916.2,104244.4,103895.0,104179.0,535.67
2025-06-02 11:05:00-04:00,105,103954.8,103977.5,103852.0,103916.2,678.341
2025-06-02 11:00:00-04:00,106,104129.6,104182.9,103920.1,103954.9,639.188
2025-06-02 10:55:00-04:00,107,103994.1,104160.2,103994.0,104129.6,583.486
2025-06-02 10:50:00-04:00,108,104044.0,104073.3,103920.0,103994.1,995.532
2025-06-02 10:45:00-04:00,109,104329.7,104373.4,103992.0,104044.1,1473.718
2025-06-02 10:40:00-04:00,110,104421.6,104450.0,104289.0,104329.6,722.262
2025-06-02 10:35:00-04:00,111,104580.3,104646.1,104421.6,104421.7,1461.066
2025-06-02 10:30:00-04:00,112,104412.8,104600.1,104343.1,104580.8,1521.891
2025-06-02 10:25:00-04:00,113,104257.6,104546.7,104239.9,104412.8,2117.307
2025-06-02 10:20:00-04:00,114,104132.5,104324.8,104039.2,104257.5,930.289
2025-06-02 10:15:00-04:00,115,104063.4,104190.8,103906.5,104132.4,961.419
2025-06-02 10:10:00-04:00,116,104036.8,104094.5,103846.1,104063.3,690.488
2025-06-02 10:05:00-04:00,117,103955.0,104085.7,103800.0,104036.8,952.578
2025-06-02 10:00:00-04:00,118,103764.3,104078.3,103600.6,103955.0,2317.168
2025-06-02 09:55:00-04:00,119,103736.6,103880.0,103642.0,103764.3,1295.76
2025-06-02 09:50:00-04:00,120,103886.1,103899.7,103666.6,103736.6,2128.571
2025-06-02 09:45:00-04:00,121,104182.4,104229.0,103838.6,103886.0,1444.138
2025-06-02 09:40:00-04:00,122,104496.0,104496.0,104050.0,104182.5,1193.502
2025-06-02 09:35:00-04:00,123,104235.9,104517.0,104215.1,104496.1,1744.156
2025-06-02 09:30:00-04:00,124,103969.2,104290.0,103920.0,104236.0,1723.207
2025-06-02 09:25:00-04:00,125,103831.2,104011.6,103831.2,103969.2,767.664
2025-06-02 09:20:00-04:00,126,103986.5,104041.6,103815.0,103831.2,656.85
2025-06-02 09:15:00-04:00,127,104105.0,104150.0,103958.2,103986.5,407.373
2025-06-02 09:10:00-04:00,128,103984.4,104156.6,103979.6,104105.1,483.507
